endTime,artistName,trackName,msPlayed
2022-01-11 12:47,Summers Sons,Call It Love,62974
2022-01-11 12:50,The Heavy,How You Like Me Now? - Raffertie Remix,191146
2022-01-11 12:50,AJR,Netflix Trip,1160
2022-01-11 12:50,Tate McRae,you broke me first,1044
2022-01-11 12:50,SOIL & “PIMP” SESSIONS,In The Twilight,1625
2022-01-11 12:50,Topic,Why Do You Lie To Me (feat. Lil Baby),3227
2022-01-11 12:53,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
2022-01-11 12:55,Juice WRLD,Life's A Mess II (with Clever & Post Malone),1787
2022-01-11 12:55,BFM Hits,Dixie Chicken,1462
2022-01-11 12:55,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),101298
2022-01-11 13:00,DC,Paro(noia),195933
2022-01-11 13:00,Monty Datta,Say Goodbye,14705
2022-01-11 13:09,Juice WRLD,Smile (with The Weeknd),196180
2022-01-11 13:12,King Six,These Days,26254
2022-01-11 13:16,Lewis Capaldi,Before You Go,215106
2022-01-11 13:23,Cigarettes After Sex,Apocalypse,626
2022-01-11 13:23,BADBADNOTGOOD,Time Moves Slow,1695
2022-01-11 13:23,Tayo Sound,Someone New,6478
2022-01-11 13:23,Mac Miller,Good News,1416
2022-01-11 13:23,Caleborate,California Breeze,16012
2022-01-11 13:23,J.I the Prince of N.Y,Need Me,2252
2022-01-11 13:23,Kanye West,Life Of The Party (with André 3000),1578
2022-01-11 13:23,Warren G,This D.J.,1555
2022-01-11 13:23,Fitz and The Tantrums,Out of My League,1648
2022-01-11 13:23,Kanye West,New Again,1439
2022-01-11 13:23,Nujabes,Luv (sic) pt2 Acoustica,1834
2022-01-11 13:23,SEB,seaside_demo,2484
2022-01-11 13:23,Matt Fine,Stay Up,14744
2022-01-11 13:55,The Fray,How to Save a Life,75279
2022-01-11 14:30,5 Seconds of Summer,Ghost Of You,151231
2022-01-11 14:55,5 Seconds of Summer,Ghost Of You,394141
2022-01-11 14:57,Giveon,Stuck On You,7138
2022-01-11 14:59,BNXN fka Buju,Italy,114600
2022-01-11 15:00,Imagine Dragons,West Coast,420
2022-01-11 15:00,Natalie Durrett,Come with Me,30090
2022-01-11 15:01,Imagine Dragons,West Coast,17390
2022-01-11 15:04,BNXN fka Buju,Italy,188395
2022-01-11 15:05,CRIM,WHEN SUMMER ENDS,9374
2022-01-11 15:06,5 Seconds of Summer,Ghost Of You,64330
2022-01-11 15:10,5 Seconds of Summer,Ghost Of You,168670
2022-01-11 15:15,BNXN fka Buju,Italy,138089
2022-01-11 15:15,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),8591
2022-01-11 15:26,BNXN fka Buju,Italy,188395
2022-01-11 15:26,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),3528
2022-01-11 15:29,BNXN fka Buju,Italy,188395
2022-01-11 15:29,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),3017
2022-01-11 15:39,BNXN fka Buju,Italy,265647
2022-01-11 15:39,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),1462
2022-01-11 15:51,BNXN fka Buju,Italy,261677
2022-01-11 15:51,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),14581
2022-01-11 15:54,5 Seconds of Summer,Ghost Of You,4016
2022-01-11 15:54,BNXN fka Buju,Italy,188395
2022-01-11 15:57,BNXN fka Buju,Italy,188395
2022-01-11 16:01,5 Seconds of Summer,Ghost Of You,194118
2022-01-11 16:03,Skinny Atlas,Looking at the Sky With You,142702
2022-01-11 16:07,marinelli,OH GOD,132323
2022-01-11 16:08,Ryan Woods,how i'm feeling,59270
2022-01-11 16:10,dexter,Maybe the Problem Is Me,59094
2022-01-11 16:24,EKKSTACY,in love,82639
2022-01-11 16:25,MarMar Oso,Ruthless (Nice Guys Always Finish Last),11075
2022-01-11 16:28,BNXN fka Buju,Italy,188395
2022-01-11 16:29,Lil Peep,Star Shopping,33576
2022-01-11 16:29,Sista Prod,"Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu, Alec Benjamin & Rxseboy)",1416
2022-01-11 16:29,Will Paquin,Chandelier,50665
2022-01-11 16:30,Tucker Rivera,West Coast City,62531
2022-01-11 16:30,Field Medic,song i made up to stop myself from having a panic attack just now (ft. rich),4899
2022-01-11 16:31,Skinny Atlas,summer nights,72376
2022-01-11 16:33,Yxngxr1,"emma, u up?",79226
2022-01-11 16:36,Sarcastic Sounds,change ur mind,183451
2022-01-11 16:39,Willum Maindo,We All Fall Sometimes,170385
2022-01-11 16:40,beabadoobee,Tired,40634
2022-01-11 16:41,yaeow,how to live,109249
2022-01-11 16:42,Healy,Everything's Fine,27422
2022-01-11 20:13,BNXN fka Buju,Italy,175530
2022-01-11 22:03,BNXN fka Buju,Italy,188395
2022-01-11 22:04,Mac Miller,Dang! (feat. Anderson .Paak),15015
2022-01-11 22:07,BNXN fka Buju,Italy,188395
2022-01-11 22:12,Mac Miller,Dang! (feat. Anderson .Paak),305350
2022-01-11 22:16,Maroon 5,Sunday Morning,244866
